fecha;enso_año;enso_mes;anomalia_oni;temp_sst;temp_media;soi;iod
1970-01-01;Niña;Neutral;0.48;26.36;26.64;-1.26;0.297
1970-02-01;Niña;Neutral;0.41;26.56;26.64;-1.22;0.326
1970-03-01;Niña;Neutral;0.13;27.02;26.64;0.06;0.068
1970-04-01;Niña;Neutral;0.34;27.4;26.64;-0.56;0.219
1970-05-01;Niña;Neutral;0.1;27.53;26.65;0.04;0.182
1970-06-01;Niña;Neutral;-0.31;27.35;26.65;1.02;-0.385
1970-07-01;Niña;Niña;-0.7;26.9;26.65;-0.52;-0.57
1970-08-01;Niña;Niña;-0.87;26.46;26.65;0.31;-0.351
1970-09-01;Niña;Niña;-0.7;26.34;26.65;1.18;-0.6
1970-10-01;Niña;Niña;-0.73;26.33;26.65;0.74;-0.638
1970-11-01;Niña;Niña;-0.78;26.35;26.65;1.85;-0.307
1970-12-01;Niña;Niña;-1.06;26.33;26.64;1.83;-0.235
1971-01-01;Niña;Niña;-1.6;26.42;26.64;0.23;0.198
1971-02-01;Niña;Niña;-1.42;26.61;26.64;1.44;0.013
1971-03-01;Niña;Niña;-1.13;27.06;26.64;1.98;0.208
1971-04-01;Niña;Niña;-0.8;27.44;26.65;2.58;0.24
1971-05-01;Niña;Niña;-0.61;27.56;26.65;0.88;-0.074
1971-06-01;Niña;Niña;-0.78;27.38;26.65;0.21;-0.236
1971-07-01;Niña;Niña;-0.82;26.94;26.66;0.17;-0.354
1971-08-01;Niña;Niña;-0.79;26.54;26.65;1.42;-0.547
1971-09-01;Niña;Niña;-0.71;26.42;26.65;1.51;-0.746
1971-10-01;Niña;Niña;-0.96;26.43;26.65;1.75;-0.629
1971-11-01;Niña;Niña;-0.88;26.43;26.65;0.55;0.017
1971-12-01;Niña;Niña;-1.03;26.4;26.65;0.15;0.215
1972-01-01;Niña - Niño;Niña;-0.78;26.42;26.65;0.33;0.143
1972-02-01;Niña - Niño;Neutral;-0.3;26.61;26.65;0.67;-0.216
1972-03-01;Niña - Niño;Neutral;0.03;27.06;26.65;0.13;0.031
1972-04-01;Niña - Niño;Neutral;0.45;27.44;26.65;-0.46;0.131
1972-05-01;Niña - Niño;Niño;0.75;27.56;26.66;-1.52;0.157
1972-06-01;Niña - Niño;Niño;0.8;27.38;26.66;-1.68;0.739
1972-07-01;Niña - Niño;Niño;1.2;26.94;26.66;-1.84;0.708
1972-08-01;Niña - Niño;Niño;1.4;26.54;26.66;-1.12;0.511
1972-09-01;Niña - Niño;Niño;1.52;26.42;26.66;-1.48;0.363
1972-10-01;Niña - Niño;Niño;1.83;26.43;26.66;-1.13;0.327
1972-11-01;Niña - Niño;Niño;2.17;26.43;26.66;-0.38;0.671
1972-12-01;Niña - Niño;Niño;2.28;26.4;26.66;-1.47;0.477
1973-01-01;Niño - Niña;Niño;1.92;26.42;26.66;-0.43;0.043
1973-02-01;Niño - Niña;Niño;1.34;26.61;26.66;-1.47;-0.077
1973-03-01;Niño - Niña;Neutral;0.49;27.06;26.66;-0.06;-0.001
1973-04-01;Niño - Niña;Neutral;-0.19;27.44;26.66;-0.37;-0.117
1973-05-01;Niño - Niña;Niña;-0.59;27.56;26.66;0.25;0.085
1973-06-01;Niño - Niña;Niña;-0.83;27.38;26.67;1.22;-0.225
1973-07-01;Niño - Niña;Niña;-1.18;26.94;26.67;0.63;-0.495
1973-08-01;Niño - Niña;Niña;-1.31;26.54;26.67;1.18;-0.607
1973-09-01;Niño - Niña;Niña;-1.36;26.42;26.67;1.27;-0.773
1973-10-01;Niño - Niña;Niña;-1.69;26.43;26.67;0.85;-0.449
1973-11-01;Niño - Niña;Niña;-2.09;26.43;26.66;2.85;-0.157
1973-12-01;Niño - Niña;Niña;-2.06;26.4;26.66;1.76;0.047
1974-01-01;Niña;Niña;-1.95;26.42;26.66;2.16;0.279
1974-02-01;Niña;Niña;-1.5;26.61;26.66;1.49;0.156
1974-03-01;Niña;Niña;-1.21;27.06;26.66;2.1;0.249
1974-04-01;Niña;Niña;-0.97;27.44;26.67;1.27;-0.053
1974-05-01;Niña;Niña;-0.91;27.56;26.67;1.24;-0.239
1974-06-01;Niña;Niña;-0.85;27.38;26.67;0.14;-0.027
1974-07-01;Niña;Niña;-0.55;26.94;26.67;1.23;-0.249
1974-08-01;Niña;Neutral;-0.21;26.54;26.67;0.56;-0.497
1974-09-01;Niña;Neutral;-0.35;26.42;26.67;1.16;-0.661
1974-10-01;Niña;Niña;-0.66;26.43;26.67;0.72;-0.845
1974-11-01;Niña;Niña;-0.82;26.43;26.67;-0.42;-0.551
1974-12-01;Niña;Niña;-0.78;26.4;26.67;-0.14;-0.36
1975-01-01;Niña;Neutral;-0.32;26.42;26.67;-0.62;-0.367
1975-02-01;Niña;Niña;-0.53;26.61;26.67;0.46;-0.249
1975-03-01;Niña;Niña;-0.86;27.06;26.67;1.14;-0.464
1975-04-01;Niña;Niña;-0.58;27.44;26.67;1.48;0.087
1975-05-01;Niña;Niña;-0.76;27.56;26.68;0.51;0.066
1975-06-01;Niña;Niña;-1.15;27.38;26.68;1.69;0.055
1975-07-01;Niña;Niña;-1.04;26.94;26.68;2.13;-0.039
1975-08-01;Niña;Niña;-1.2;26.54;26.68;2.03;-0.344
1975-09-01;Niña;Niña;-1.37;26.42;26.68;2.15;-0.857
1975-10-01;Niña;Niña;-1.54;26.43;26.68;1.67;-1.056
1975-11-01;Niña;Niña;-1.38;26.43;26.68;1.25;-0.328
1975-12-01;Niña;Niña;-1.73;26.4;26.67;2.05;-0.17
1976-01-01;Niña - Niño;Niña;-1.84;26.39;26.67;1.19;0.005
1976-02-01;Niña - Niño;Niña;-1.09;26.59;26.67;1.18;0.077
1976-03-01;Niña - Niño;Niña;-0.58;27.04;26.67;1.33;0.02
1976-04-01;Niña - Niño;Niña;-0.53;27.42;26.68;0.24;0.122
1976-05-01;Niña - Niño;Neutral;-0.31;27.51;26.68;0.5;-0.004
1976-06-01;Niña - Niño;Neutral;0;27.35;26.68;-0.16;0.369
