Año;Edad;Hombres;Mujeres
1952;0;262053;253156
1952;1;239019;231988
1952;2;224542;218722
1952;3;204940;203131
1952;4;197631;195699
1952;5;189157;187430
1952;6;181077;179603
1952;7;173655;172440
1952;8;166804;165839
1952;9;160426;159705
1952;10;154626;154080
1952;11;149347;148917
1952;12;144344;144010
1952;13;139462;139242
1952;14;135626;135450
1952;15;132533;132366
1952;16;129640;129491
1952;17;126675;126562
1952;18;124258;124152
1952;19;120940;120921
1952;20;116908;117032
1952;21;112770;113048
1952;22;109316;109690
1952;23;105756;106211
1952;24;101915;102407
1952;25;97971;98470
1952;26;94079;94566
1952;27;90424;90901
1952;28;86803;87254
1952;29;83373;83792
1952;30;80155;80544
1952;31;77091;77450
1952;32;73929;74271
1952;33;70713;71044
1952;34;68550;68899
1952;35;67175;67556
1952;36;65900;66318
1952;37;64311;64774
1952;38;63265;63780
1952;39;61148;61651
1952;40;58108;58580
1952;41;54958;55390
1952;42;52463;52918
1952;43;49571;50085
1952;44;47391;47869
1952;45;45846;46238
1952;46;44334;44699
1952;47;42446;42799
1952;48;40852;41082
1952;49;38794;39566
1952;50;36387;38183
1952;51;34054;36924
1952;52;32137;35809
1952;53;30158;34894
1952;54;28685;33688
1952;55;27631;32237
1952;56;26650;30735
1952;57;25425;29346
1952;58;24330;27778
1952;59;23285;26540
1952;60;22235;25584
1952;61;21213;24655
1952;62;20287;23604
1952;63;19458;22767
1952;64;18361;21591
1952;65;17086;20148
1952;66;15792;18672
1952;67;14681;17424
1952;68;13523;16087
1952;69;12463;14874
1952;70;11542;13815
1952;71;10654;12791
1952;72;9670;11665
1952;73;8694;10569
1952;74;7958;9681
1952;75;7373;8949
1952;76;6867;8254
1952;77;6357;7598
1952;78;5967;7032
1952;79;5373;6432
1952;80;4653;5772
1952;81;3804;5107
1952;82;3137;4522
1952;83;2450;3956
1952;84;1887;3292
1952;85;1464;2554
1952;86;1119;1895
1952;87;789;1329
1952;88;521;811
1952;89;345;494
1952;90;242;357
1952;91;181;307
1952;92;117;193
1952;93;99;162
1952;94;69;112
1952;95;41;69
1952;96;15;28
1952;97;8;17
1952;98;9;16
1952;99;6;11
1952;100;8;14
1956;0;297542;287109
1956;1;272904;264475
1956;2;257918;250947
1956;3;245552;239422
1956;4;234215;228638
1956;5;224799;219522
1956;6;215070;210027
1956;7;197949;196436
1956;8;192185;190463
1956;9;185063;183561
1956;10;178028;176832
1956;11;171316;170419
1956;12;164860;164225
1956;13;158605;158200
1956;14;152708;152459
1956;15;147158;147017
1956;16;141745;141707
1956;17;136354;136453
1956;18;131936;132130
1956;19;128226;128509
1956;20;124717;125133
1956;21;121167;121759
1956;22;118216;118971
1956;23;114484;115459
1956;24;110187;111391
1956;25;105934;107321
1956;26;102493;103960
1956;27;99075;100566
1956;28;95486;96925
1956;29;91861;93204
