Año;Pob_mundial;Pob_suramerica;Pob_Colombia_ONU;Pob_Colombia_DANE;Pob_Antioquia;Pob_Amva;Pob_Medellin
1912;;;;5.472.604;740.937;119.534;71.004
1918;;;;5.855.077;823.226;136.143;79.146
1928;;;;7.851.110;1.011.324;190.593;120.044
1938;;;;8.697.041;1.188.587;246.025;168.266
1950;2.536.431.018;113.765.191;11.981.576;12.340.899;1.682.031;455.431;326.297
1951;2.584.034.227;116.853.652;12.295.965;12.690.506;1.733.323;499.756;358.189
1955;2.773.019.915;130.120.237;13.774.999;14.225.196;1.951.557;680.382;485.796
1960;3.034.949.715;148.685.684;16.057.714;16.480.377;2.251.452;905.333;645.295
1964;3.273.978.272;165.468.541;18.175.187;18.588.719;2.510.666;1.084.660;772.887
1973;3.927.780.519;205.707.782;23.024.512;23.668.841;3.145.883;1.517.944;1.093.191
1975;4.079.480.474;215.134.418;24.065.502;24.757.082;3.295.136;1.634.329;1.166.985
1980;4.458.003.466;240.515.266;26.900.508;27.738.076;3.678.291;1.925.292;1.351.470
1985;4.870.921.666;267.951.819;29.951.194;31.011.862;4.072.705;2.216.254;1.535.955
1990;5.327.231.041;295.398.177;33.102.569;34.271.740;4.474.557;2.481.113;1.688.394
1995;5.744.212.930;322.302.316;36.421.438;37.442.186;4.880.025;2.763.492;1.872.241
2000;6.143.493.806;348.411.890;39.629.965;40.404.224;5.285.287;3.050.243;2.065.871
2005;6.541.906.956;371.804.635;42.647.731;43.286.104;5.686.520;3.306.514;2.214.494
2018;7.631.091.113;423.581.098;49.661.056;48.258.000;5.974.788;3.931.447;2.427.129
2023;8.031.800.338;441.054.258;51.672.846;52.362.900;6.994.792;4.247.875;2.653.729
2025;8.184.437.453;447.509.562;52.007.050;53.057.212;6.928.372;4.194.012;2.528.343
2030;8.548.487.371;461.853.846;53.416.767;54.518.223;7.076.190;4.267.609;2.510.536
2035;8.887.524.229;473.256.076;54.549.153;55.476.504;7.158.023;4.304.040;2.472.359
2040;9.198.847.382;481.836.888;55.336.024;55.967.762;7.172.673;4.299.571;2.412.557
2045;9.481.803.272;487.829.389;55.797.218;;;;
2050;9.735.033.900;491.471.869;55.957.823;;;;
2055;9.958.098.746;492.798.922;55.819.537;;;;
2060;10.151.469.683;491.847.249;55.407.876;;;;
2065;10.317.879.315;488.686.283;54.729.955;;;;
2070;10.459.239.501;483.492.889;53.812.957;;;;
2075;10.577.288.195;476.568.188;52.675.458;;;;
