dp;depto_nom;dp_mp;municipio;area_geografica;año;Poblacion
05;Antioquia;05002;Abejorral;urbano;2005;6271
05;Antioquia;05002;Abejorral;rural;2005;13978
05;Antioquia;05002;Abejorral;urbano;2006;6291
05;Antioquia;05002;Abejorral;rural;2006;13822
05;Antioquia;05002;Abejorral;urbano;2007;6317
05;Antioquia;05002;Abejorral;rural;2007;13705
05;Antioquia;05002;Abejorral;urbano;2008;6351
05;Antioquia;05002;Abejorral;rural;2008;13579
05;Antioquia;05002;Abejorral;urbano;2009;6391
05;Antioquia;05002;Abejorral;rural;2009;13462
05;Antioquia;05002;Abejorral;urbano;2010;6439
05;Antioquia;05002;Abejorral;rural;2010;13311
05;Antioquia;05002;Abejorral;urbano;2011;6493
05;Antioquia;05002;Abejorral;rural;2011;13179
05;Antioquia;05002;Abejorral;urbano;2012;6540
05;Antioquia;05002;Abejorral;rural;2012;13030
05;Antioquia;05002;Abejorral;urbano;2013;6587
05;Antioquia;05002;Abejorral;rural;2013;12891
05;Antioquia;05002;Abejorral;urbano;2014;6636
05;Antioquia;05002;Abejorral;rural;2014;12746
05;Antioquia;05002;Abejorral;urbano;2015;6681
05;Antioquia;05002;Abejorral;rural;2015;12609
05;Antioquia;05002;Abejorral;urbano;2016;6724
05;Antioquia;05002;Abejorral;rural;2016;12471
05;Antioquia;05002;Abejorral;urbano;2017;6765
05;Antioquia;05002;Abejorral;rural;2017;12331
05;Antioquia;05002;Abejorral;urbano;2018;6802
05;Antioquia;05002;Abejorral;rural;2018;12189
05;Antioquia;05002;Abejorral;urbano;2019;6835
05;Antioquia;05002;Abejorral;rural;2019;12047
05;Antioquia;05002;Abejorral;urbano;2020;8119
05;Antioquia;05002;Abejorral;rural;2020;12704
05;Antioquia;05002;Abejorral;urbano;2021;8499
05;Antioquia;05002;Abejorral;rural;2021;12425
05;Antioquia;05002;Abejorral;urbano;2022;8799
05;Antioquia;05002;Abejorral;rural;2022;12310
05;Antioquia;05002;Abejorral;urbano;2023;9072
05;Antioquia;05002;Abejorral;rural;2023;12225
05;Antioquia;05002;Abejorral;urbano;2024;9248
05;Antioquia;05002;Abejorral;rural;2024;12220
05;Antioquia;05002;Abejorral;urbano;2025;9369
05;Antioquia;05002;Abejorral;rural;2025;12253
05;Antioquia;05002;Abejorral;urbano;2026;9499
05;Antioquia;05002;Abejorral;rural;2026;12252
05;Antioquia;05002;Abejorral;urbano;2027;9603
05;Antioquia;05002;Abejorral;rural;2027;12274
05;Antioquia;05002;Abejorral;urbano;2028;9679
