depto_nom;cod_mp;municipio;area_geografica;año;Poblacion;region
Antioquia;5002;Abejorral;urbano;2005;6271;oriente
Antioquia;5002;Abejorral;rural;2005;13978;oriente
Antioquia;5002;Abejorral;urbano;2006;6291;oriente
Antioquia;5002;Abejorral;rural;2006;13822;oriente
Antioquia;5002;Abejorral;urbano;2007;6317;oriente
Antioquia;5002;Abejorral;rural;2007;13705;oriente
Antioquia;5002;Abejorral;urbano;2008;6351;oriente
Antioquia;5002;Abejorral;rural;2008;13579;oriente
Antioquia;5002;Abejorral;urbano;2009;6391;oriente
Antioquia;5002;Abejorral;rural;2009;13462;oriente
Antioquia;5002;Abejorral;urbano;2010;6439;oriente
Antioquia;5002;Abejorral;rural;2010;13311;oriente
Antioquia;5002;Abejorral;urbano;2011;6493;oriente
Antioquia;5002;Abejorral;rural;2011;13179;oriente
Antioquia;5002;Abejorral;urbano;2012;6540;oriente
Antioquia;5002;Abejorral;rural;2012;13030;oriente
Antioquia;5002;Abejorral;urbano;2013;6587;oriente
Antioquia;5002;Abejorral;rural;2013;12891;oriente
Antioquia;5002;Abejorral;urbano;2014;6636;oriente
Antioquia;5002;Abejorral;rural;2014;12746;oriente
Antioquia;5002;Abejorral;urbano;2015;6681;oriente
Antioquia;5002;Abejorral;rural;2015;12609;oriente
Antioquia;5002;Abejorral;urbano;2016;6724;oriente
Antioquia;5002;Abejorral;rural;2016;12471;oriente
Antioquia;5002;Abejorral;urbano;2017;6765;oriente
Antioquia;5002;Abejorral;rural;2017;12331;oriente
Antioquia;5002;Abejorral;urbano;2018;6802;oriente
Antioquia;5002;Abejorral;rural;2018;12189;oriente
Antioquia;5002;Abejorral;urbano;2019;6835;oriente
Antioquia;5002;Abejorral;rural;2019;12047;oriente
Antioquia;5002;Abejorral;urbano;2020;6865;oriente
Antioquia;5002;Abejorral;rural;2020;11914;oriente
Norte de Santander;54003;Abrego;urbano;2005;14373;
Norte de Santander;54003;Abrego;rural;2005;20119;
Norte de Santander;54003;Abrego;urbano;2006;14642;
Norte de Santander;54003;Abrego;rural;2006;20205;
Norte de Santander;54003;Abrego;urbano;2007;14887;
Norte de Santander;54003;Abrego;rural;2007;20290;
Norte de Santander;54003;Abrego;urbano;2008;15142;
Norte de Santander;54003;Abrego;rural;2008;20377;
Norte de Santander;54003;Abrego;urbano;2009;15399;
Norte de Santander;54003;Abrego;rural;2009;20463;
Norte de Santander;54003;Abrego;urbano;2010;15665;
Norte de Santander;54003;Abrego;rural;2010;20550;
Norte de Santander;54003;Abrego;urbano;2011;15927;
Norte de Santander;54003;Abrego;rural;2011;20637;
Norte de Santander;54003;Abrego;urbano;2012;16205;
Norte de Santander;54003;Abrego;rural;2012;20724;
Norte de Santander;54003;Abrego;urbano;2013;16467;
Norte de Santander;54003;Abrego;rural;2013;20812;
Norte de Santander;54003;Abrego;urbano;2014;16739;
Norte de Santander;54003;Abrego;rural;2014;20900;
Norte de Santander;54003;Abrego;urbano;2015;17009;
Norte de Santander;54003;Abrego;rural;2015;20988;
Norte de Santander;54003;Abrego;urbano;2016;17287;
Norte de Santander;54003;Abrego;rural;2016;21076;
Norte de Santander;54003;Abrego;urbano;2017;17568;
Norte de Santander;54003;Abrego;rural;2017;21165;
Norte de Santander;54003;Abrego;urbano;2018;17836;
Norte de Santander;54003;Abrego;rural;2018;21254;
Norte de Santander;54003;Abrego;urbano;2019;18100;
Norte de Santander;54003;Abrego;rural;2019;21343;
Norte de Santander;54003;Abrego;urbano;2020;18372;
Norte de Santander;54003;Abrego;rural;2020;21433;
Antioquia;5004;Abriaquí;urbano;2005;858;occidente
Antioquia;5004;Abriaquí;rural;2005;1832;occidente
Antioquia;5004;Abriaquí;urbano;2006;849;occidente
Antioquia;5004;Abriaquí;rural;2006;1787;occidente
Antioquia;5004;Abriaquí;urbano;2007;840;occidente
Antioquia;5004;Abriaquí;rural;2007;1730;occidente
Antioquia;5004;Abriaquí;urbano;2008;831;occidente
Antioquia;5004;Abriaquí;rural;2008;1673;occidente
Antioquia;5004;Abriaquí;urbano;2009;821;occidente
Antioquia;5004;Abriaquí;rural;2009;1637;occidente
Antioquia;5004;Abriaquí;urbano;2010;811;occidente
Antioquia;5004;Abriaquí;rural;2010;1586;occidente
Antioquia;5004;Abriaquí;urbano;2011;800;occidente
Antioquia;5004;Abriaquí;rural;2011;1536;occidente
Antioquia;5004;Abriaquí;urbano;2012;788;occidente
Antioquia;5004;Abriaquí;rural;2012;1502;occidente
Antioquia;5004;Abriaquí;urbano;2013;776;occidente
Antioquia;5004;Abriaquí;rural;2013;1455;occidente
Antioquia;5004;Abriaquí;urbano;2014;764;occidente
Antioquia;5004;Abriaquí;rural;2014;1411;occidente
Antioquia;5004;Abriaquí;urbano;2015;751;occidente
Antioquia;5004;Abriaquí;rural;2015;1377;occidente
Antioquia;5004;Abriaquí;urbano;2016;738;occidente
Antioquia;5004;Abriaquí;rural;2016;1337;occidente
Antioquia;5004;Abriaquí;urbano;2017;724;occidente
Antioquia;5004;Abriaquí;rural;2017;1295;occidente
Antioquia;5004;Abriaquí;urbano;2018;710;occidente
Antioquia;5004;Abriaquí;rural;2018;1261;occidente
Antioquia;5004;Abriaquí;urbano;2019;695;occidente
Antioquia;5004;Abriaquí;rural;2019;1223;occidente
Antioquia;5004;Abriaquí;urbano;2020;680;occidente
Antioquia;5004;Abriaquí;rural;2020;1190;occidente
Meta;50006;Acacías;urbano;2005;44775;
Meta;50006;Acacías;rural;2005;9444;
Meta;50006;Acacías;urbano;2006;45992;
Meta;50006;Acacías;rural;2006;9532;
Meta;50006;Acacías;urbano;2007;47292;
Meta;50006;Acacías;rural;2007;9640;
Meta;50006;Acacías;urbano;2008;48612;
Meta;50006;Acacías;rural;2008;9755;
Meta;50006;Acacías;urbano;2009;49941;
Meta;50006;Acacías;rural;2009;9876;
Meta;50006;Acacías;urbano;2010;51284;
Meta;50006;Acacías;rural;2010;10004;
Meta;50006;Acacías;urbano;2011;52637;
Meta;50006;Acacías;rural;2011;10139;
Meta;50006;Acacías;urbano;2012;54005;
Meta;50006;Acacías;rural;2012;10282;
Meta;50006;Acacías;urbano;2013;55368;
Meta;50006;Acacías;rural;2013;10432;
Meta;50006;Acacías;urbano;2014;56754;
Meta;50006;Acacías;rural;2014;10593;
Meta;50006;Acacías;urbano;2015;58128;
Meta;50006;Acacías;rural;2015;10760;
Meta;50006;Acacías;urbano;2016;59528;
Meta;50006;Acacías;rural;2016;10941;
Meta;50006;Acacías;urbano;2017;60918;
Meta;50006;Acacías;rural;2017;11130;
Meta;50006;Acacías;urbano;2018;62309;
Meta;50006;Acacías;rural;2018;11331;
Meta;50006;Acacías;urbano;2019;63708;
Meta;50006;Acacías;rural;2019;11544;
Meta;50006;Acacías;urbano;2020;65104;
Meta;50006;Acacías;rural;2020;11769;
Chocó;27006;Acandí;urbano;2005;5107;
Chocó;27006;Acandí;rural;2005;5348;
Chocó;27006;Acandí;urbano;2006;5123;
Chocó;27006;Acandí;rural;2006;5236;
Chocó;27006;Acandí;urbano;2007;5139;
Chocó;27006;Acandí;rural;2007;5139;
Chocó;27006;Acandí;urbano;2008;5154;
Chocó;27006;Acandí;rural;2008;5026;
Chocó;27006;Acandí;urbano;2009;5168;
Chocó;27006;Acandí;rural;2009;4935;
Chocó;27006;Acandí;urbano;2010;5182;
Chocó;27006;Acandí;rural;2010;4832;
Chocó;27006;Acandí;urbano;2011;5195;
Chocó;27006;Acandí;rural;2011;4727;
Chocó;27006;Acandí;urbano;2012;5210;
Chocó;27006;Acandí;rural;2012;4632;
Chocó;27006;Acandí;urbano;2013;5224;
Chocó;27006;Acandí;rural;2013;4532;
Chocó;27006;Acandí;urbano;2014;5237;
Chocó;27006;Acandí;rural;2014;4431;
Chocó;27006;Acandí;urbano;2015;5249;
Chocó;27006;Acandí;rural;2015;4335;
Chocó;27006;Acandí;urbano;2016;5259;
Chocó;27006;Acandí;rural;2016;4246;
Chocó;27006;Acandí;urbano;2017;5269;
Chocó;27006;Acandí;rural;2017;4139;
Chocó;27006;Acandí;urbano;2018;5279;
