dpnom;año;area_geografica;sexo;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Nacional;1950;Cabecera;total;176041;163565;157156;151526;146304;141306;136384;131717;127180;123220;119744;117080;114991;113443;112614;112182;112389;112463;112024;111027;109764;108263;106038;102951;99215;95345;91230;87324;83844;80647;77320;73999;71303;68757;66321;64126;62430;60192;56905;53589;50572;48110;46194;46174;44186;42315;40499;38763;37135;35564;34221;32936;31622;30267;28884;27572;26277;25016;23783;22576;21388;20231;19083;17947;16822;15738;14660;13625;12646;11701;10804;9952;9055;8070;7070;6123;5285;4600;4074;3713;3496;3422;3467;3619;3864;3583;3153;2628;2071;1540;1072;699;423;236;121;57;24;9;3;1;873
Nacional;1950;Centros Poblados y Rural Disperso;total;341689;313672;298706;285868;274359;263732;253729;244186;235218;226919;219739;212759;206417;200691;195475;189952;184792;178839;171563;163541;156044;148805;141741;134923;128362;122029;115958;110653;106515;102984;99684;96591;94241;91617;88864;86475;84606;82353;79153;76103;73414;71463;69976;70711;68262;65956;63665;61357;58925;56462;53891;51441;49179;47125;45251;43410;41629;39863;38098;36345;34630;32957;31342;29779;28266;26760;25283;23785;22241;20675;19196;17733;16176;14508;12779;11112;9626;8383;7442;6781;6407;6284;6394;6718;7242;6757;5994;5035;3995;2978;2084;1357;822;460;234;109;45;18;6;3;1044
Nacional;1950;Total;total;517730;477237;455862;437394;420663;405038;390113;375903;362398;350139;339483;329839;321408;314134;308089;302134;297181;291302;283587;274568;265808;257068;247779;237874;227577;217374;207188;197977;190359;183631;177004;170590;165544;160374;155185;150601;147036;142545;136058;129692;123986;119573;116170;116885;112448;108271;104164;100120;96060;92026;88112;84377;80801;77392;74135;70982;67906;64879;61881;58921;56018;53188;50425;47726;45088;42498;39943;37410;34887;32376;30000;27685;25231;22578;19849;17235;14911;12983;11516;10494;9903;9706;9861;10337;11106;10340;9147;7663;6066;4518;3156;2056;1245;696;355;166;69;27;9;4;1917
Nacional;1951;Cabecera;total;184635;171721;165066;159346;153863;148662;143597;138737;133992;129589;125544;122496;119947;117958;116635;116037;115829;116217;116474;115966;114562;113008;110971;108096;104474;100511;96341;91943;87718;84097;80702;77274;73941;71432;68992;66528;64371;62537;60094;56680;53342;50285;47907;46170;46251;44278;42421;40653;39057;37480;36083;34719;33326;31868;30387;28994;27631;26301;24999;23723;22454;21219;19991;18786;17587;16436;15342;14189;13176;12198;11233;10339;9478;8555;7582;6603;5678;4874;4204;3699;3334;3113;3013;3017;3107;3281;2994;2598;2135;1662;1213;836;534;319;174;89;41;17;6;2;574
Nacional;1951;Centros Poblados y Rural Disperso;total;346818;319046;303943;291179;279487;268730;258712;249059;239929;231082;223025;215494;208431;201975;195926;190383;184538;179063;172803;165443;157737;150434;143645;137175;130882;124546;118548;112788;107864;103948;100692;97582;94590;92108;89460;86826;84450;82787;80796;77788;74832;72232;70220;68574;69202;66839;64570;62292;59960;57545;54943;52434;50130;48018;46090;44205;42395;40619;38847;37073;35321;33589;31894;30243;28644;27082;25642;24016;22473;20915;19364;17877;16428;14924;13300;11634;10049;8639;7477;6576;5943;5555;5388;5414;5619;5970;5495;4805;3974;3100;2277;1565;1004;599;330;164;76;32;11;5;662
Nacional;1951;Total;total;531453;490767;469009;450525;433350;417392;402309;387796;373921;360671;348569;337990;328378;319933;312561;306420;300367;295280;289277;281409;272299;263442;254616;245271;235356;225057;214889;204731;195582;188045;181394;174856;168531;163540;158452;153354;148821;145324;140890;134468;128174;122517;118127;114744;115453;111117;106991;102945;99017;95025;91026;87153;83456;79886;76477;73199;70026;66920;63846;60796;57775;54808;51885;49029;46231;43518;40984;38205;35649;33113;30597;28216;25906;23479;20882;18237;15727;13513;11681;10275;9277;8668;8401;8431;8726;9251;8489;7403;6109;4762;3490;2401;1538;918;504;253;117;49;17;7;1236
Nacional;1952;Cabecera;total;189007;175903;169125;163323;157893;152564;147426;142550;137728;133233;128852;125342;122489;120107;118407;117357;117021;117024;117633;117894;117036;115405;113372;110749;107409;103651;99467;95097;90458;86173;82422;78985;75606;72534;70177;67750;65380;63120;61113;58585;55212;51897;48993;46841;45229;45290;43385;41618;40007;38515;37162;35783;34340;32837;31284;29832;28417;27049;25711;24394;23085;21795;20521;19263;18024;16818;15623;14585;13410;12421;11445;10507;9625;8752;7857;6922;5985;5118;4354;3731;3247;2901;2680;2563;2532;2579;2681;2413;2064;1676;1281;925;625;394;230;127;63;28;12;4;373
Nacional;1952;Centros Poblados y Rural Disperso;total;357670;328601;313451;300376;288603;277524;267249;257446;248088;238946;230240;221735;214032;206786;199958;193534;187618;181440;175602;169196;162069;154489;147577;141312;135285;129130;123033;117260;111805;107041;103349;100222;97152;93983;91418;88830;86177;83975;82533;80675;77696;74778;72077;69866;68114;68722;66386;64083;61708;59376;56793;54224;51829;49658;47652;45688;43807;41977;40173;38373;36580;34781;33005;31256;29553;27872;26260;24817;23016;21434;19866;18290;16797;15375;13877;12284;10673;9150;7816;6703;5849;5229;4833;4633;4598;4703;4931;4472;3852;3130;2408;1737;1176;743;437;234;117;53;22;8;430
Nacional;1952;Total;total;546677;504504;482576;463699;446496;430088;414675;399996;385816;372179;359092;347077;336521;326893;318365;310891;304639;298464;293235;287090;279105;269894;260949;252061;242694;232781;222500;212357;202263;193214;185771;179207;172758;166517;161595;156580;151557;147095;143646;139260;132908;126675;121070;116707;113343;114012;109771;105701;101715;97891;93955;90007;86169;82495;78936;75520;72224;69026;65884;62767;59665;56576;53526;50519;47577;44690;41883;39402;36426;33855;31311;28797;26422;24127;21734;19206;16658;14268;12170;10434;9096;8130;7513;7196;7130;7282;7612;6885;5916;4806;3689;2662;1801;1137;667;361;180;81;34;12;803
Nacional;1953;Cabecera;total;195595;182353;175220;169247;163662;158316;152984;147975;143076;138455;133926;130048;126694;123974;121855;120404;119592;119452;119656;120259;120154;119041;116880;114214;111078;107558;103527;99093;94431;89692;85242;81422;78006;74869;71936;69567;67214;64720;62275;60155;57626;54246;51067;48386;46345;44731;44788;42969;41347;39804;38545;37196;35724;34156;32545;31012;29529;28099;26714;25352;23993;22652;21311;19995;18695;17439;16181;14977;14005;12781;11783;10823;9890;8988;8131;7254;6347;5457;4625;3909;3314;2860;2528;2308;2179;2129;2135;2189;1942;1641;1309;991;702;467;289;170;90;44;22;9;247
Nacional;1953;Centros Poblados y Rural Disperso;total;366578;337405;321041;308042;296027;284930;274396;264390;254936;245614;236662;227540;218903;211052;203462;196284;189517;183281;176763;170779;164605;157623;150478;144136;138357;132502;126629;120807;115388;110145;105652;102122;99065;95843;92621;90135;87547;85093;83136;81846;80039;77129;74131;71257;68951;67207;67773;65440;63045;60655;58191;55658;53231;50992;48953;46929;44991;43107;41266;39449;37644;35823;33995;32181;30394;28623;26913;25218;23764;21831;20250;18666;17096;15638;14223;12754;11215;9671;8239;6976;5933;5122;4529;4137;3917;3833;3869;3999;3573;3025;2423;1830;1302;866;541;309;166;82;35;15;282
Nacional;1953;Total;total;562173;519758;496261;477289;459689;443246;427380;412365;398012;384069;370588;357588;345597;335026;325317;316688;309109;302733;296419;291038;284759;276664;267358;258350;249435;240060;230156;219900;209819;199837;190894;183544;177071;170712;164557;159702;154761;149813;145411;142001;137665;131375;125198;119643;115296;111938;112561;108409;104392;100459;96736;92854;88955;85148;81498;77941;74520;71206;67980;64801;61637;58475;55306;52176;49089;46062;43094;40195;37769;34612;32033;29489;26986;24626;22354;20008;17562;15128;12864;10885;9247;7982;7057;6445;6096;5962;6004;6188;5515;4666;3732;2821;2004;1333;830;479;256;126;57;24;529
Nacional;1954;Cabecera;total;202677;189237;181972;175601;169865;164350;158987;153778;148733;144031;139365;135348;131624;128396;125938;124064;122847;122223;122281;122464;122701;122345;120697;117878;114681;111355;107550;103257;98513;93741;88830;84308;80507;77336;74341;71399;69100;66617;63932;61376;59247;56695;53450;50499;47941;45896;44291;44381;42719;41165;39838;38602;37157;35559;33879;32292;30730;29234;27789;26380;24975;23585;22195;20812;19454;18138;16827;15562;14371;13442;12146;11164;10208;9253;8367;7523;6667;5801;4943;4164;3481;2927;2498;2183;1967;1838;1767;1749;1768;1551;1287;1015;754;528;344;215;122;64;33;15;171
Nacional;1954;Centros Poblados y Rural Disperso;total;375412;346048;329534;315311;303430;292102;281557;271296;261645;252225;243103;233721;224469;215692;207499;199566;192050;184978;178399;171752;165993;159941;153391;146836;140996;135391;129825;124231;118782;113584;108632;104317;100864;97653;94379;91252;88763;86380;84181;82384;81145;79404;76415;73240;70284;67987;66231;66713;64308;61892;59335;56947;54563;52307;50212;48162;46171;44241;42355;40505;38691;36861;35016;33153;31305;29457;27662;25877;24088;22648;20623;19026;17446;15919;14469;13075;11648;10165;8711;7356;6177;5199;4440;3879;3502;3270;3158;3142;3200;2809;2346;1847;1374;962;631;383;218;116;54;25;191
Nacional;1954;Total;total;578089;535285;511506;490912;473295;456452;440544;425074;410378;396256;382468;369069;356093;344088;333437;323630;314897;307201;300680;294216;288694;282286;274088;264714;255677;246746;237375;227488;217295;207325;197462;188625;181371;174989;168720;162651;157863;152997;148113;143760;140392;136099;129865;123739;118225;113883;110522;111094;107027;103057;99173;95549;91720;87866;84091;80454;76901;73475;70144;66885;63666;60446;57211;53965;50759;47595;44489;41439;38459;36090;32769;30190;27654;25172;22836;20598;18315;15966;13654;11520;9658;8126;6938;6062;5469;5108;4925;4891;4968;4360;3633;2862;2128;1490;975;598;340;180;87;40;362
Nacional;1955;Cabecera;total;210333;196664;189207;182688;176505;170862;165315;160065;154806;149953;145194;141054;137186;133582;130612;128398;126752;125715;125276;125306;125102;125089;124196;121878;118504;115108;111485;107403;102783;97921;92964;87974;83473;79921;76894;73885;71017;68579;65897;63097;60534;58373;55946;52934;50106;47548;45510;43949;44149;42566;41232;39904;38586;37010;35300;33648;32031;30459;28951;27483;26031;24596;23156;21725;20298;18925;17552;16234;14984;13785;12871;11531;10551;9572;8633;7759;6929;6108;5269;4461;3718;3083;2564;2163;1867;1665;1531;1453;1417;1416;1220;1003;776;569;390;255;154;86;49;23;126
