AreaAcu_ha;AreaAcuPer;S;Dk_flujoBase_tru_acum;Dk_sedimentos_tru_acum;Dk_EC_tru_acum;Dk_N_tru_acum;Dk_P_tru_acum;Dk_total_tru_acum;;;;
0;0,00%;1.592;1;0;0;0;0;0;;;;
239;0,34%;1,592;1,000;0,000;0,000;0,000;0,000;0,000;;;;
480;0,68%;1,592;0,997;0,028;0,011;0,006;0,006;0,008;;;;
645;0,91%;1,592;0,994;0,038;0,021;0,010;0,012;0,014;;;;
728;1,03%;1,591;0,989;0,039;0,032;0,013;0,016;0,020;;;;
1.089;1,53%;1,592;0,982;0,045;0,034;0,020;0,023;0,025;;;;
1.239;1,74%;1,593;0,980;0,046;0,043;0,023;0,027;0,030;;;;
1.417;1,99%;1,590;0,976;0,057;0,045;0,028;0,031;0,034;;;;
1.564;2,20%;1,588;0,973;0,057;0,046;0,033;0,036;0,038;;;;
1.668;2,35%;1,577;0,970;0,057;0,054;0,035;0,039;0,042;;;;
1.760;2,48%;1,579;0,969;0,060;0,061;0,038;0,042;0,046;;;;
1.954;2,75%;1,581;0,966;0,060;0,063;0,042;0,046;0,050;;;;
2.076;2,92%;1,578;0,963;0,063;0,066;0,047;0,049;0,054;;;;
2.142;3,02%;1,579;0,962;0,066;0,070;0,049;0,052;0,058;;;;
2.204;3,10%;1,581;0,960;0,070;0,076;0,052;0,055;0,061;;;;
2.304;3,24%;1,581;0,959;0,097;0,081;0,054;0,058;0,065;;;;
2.373;3,34%;1,581;0,955;0,097;0,083;0,058;0,062;0,068;;;;
2.686;3,78%;1,582;0,952;0,097;0,091;0,059;0,064;0,071;;;;
2.805;3,95%;1,583;0,948;0,097;0,093;0,063;0,068;0,074;;;;
2.866;4,04%;1,586;0,947;0,099;0,098;0,066;0,070;0,077;;;;
2.972;4,19%;1,588;0,943;0,099;0,099;0,069;0,073;0,080;;;;
3.083;4,34%;1,582;0,941;0,100;0,100;0,073;0,077;0,083;;;;
3.204;4,51%;1,581;0,939;0,100;0,101;0,076;0,079;0,086;;;;
3.377;4,76%;1,575;0,935;0,100;0,109;0,077;0,081;0,089;;;;
3.680;5,18%;1,576;0,932;0,101;0,111;0,081;0,084;0,092;;;;
3.774;5,31%;1,576;0,930;0,102;0,112;0,084;0,087;0,094;;;;
4.194;5,91%;1,577;0,905;0,101;0,129;0,084;0,090;0,097;;;;
4.301;6,06%;1,579;0,904;0,101;0,132;0,087;0,092;0,099;;;;
4.415;6,22%;1,576;0,901;0,101;0,133;0,090;0,095;0,102;;;;
4.571;6,44%;1,577;0,899;0,102;0,134;0,093;0,097;0,104;;;;
4.596;6,47%;1,577;0,899;0,102;0,138;0,094;0,099;0,107;;;;
4.633;6,52%;1,578;0,898;0,103;0,142;0,096;0,101;0,109;;;;
4.657;6,56%;1,572;0,897;0,103;0,146;0,098;0,103;0,112;;;;
4.750;6,69%;1,573;0,896;0,103;0,146;0,101;0,105;0,114;;;;
4.880;6,87%;1,574;0,892;0,103;0,148;0,104;0,108;0,116;;;;
4.911;6,91%;1,576;0,890;0,103;0,151;0,105;0,110;0,118;;;;
4.976;7,01%;1,577;0,888;0,105;0,154;0,107;0,112;0,121;;;;
5.027;7,08%;1,576;0,887;0,108;0,157;0,108;0,114;0,123;;;;
5.107;7,19%;1,576;0,883;0,108;0,160;0,110;0,116;0,125;;;;
5.186;7,30%;1,577;0,879;0,108;0,162;0,113;0,119;0,127;;Ventana;200;
5.221;7,35%;1,577;0,879;0,110;0,164;0,114;0,120;0,129;;A* (ha);39316,05381;0
5.301;7,46%;1,576;0,877;0,110;0,165;0,117;0,123;0,131;;;39316,05381;#N/D
5.377;7,57%;1,577;0,874;0,111;0,166;0,119;0,125;0,133;;;;
5.477;7,71%;1,579;0,873;0,111;0,167;0,121;0,127;0,135;;Porcentajes intermedios;;
5.680;8,00%;1,580;0,871;0,111;0,168;0,124;0,129;0,137;;;;
5.702;8,03%;1,576;0,869;0,112;0,172;0,125;0,130;0,138;;30;21305,09;0,00
5.876;8,27%;1,577;0,868;0,112;0,172;0,127;0,133;0,140;;;21305,09;#¡REF!
5.930;8,35%;1,579;0,867;0,112;0,173;0,129;0,135;0,142;;50;35508,48;0
6.034;8,50%;1,579;0,864;0,113;0,176;0,131;0,136;0,144;;;35508,48;#¡REF!
6.362;8,96%;1,580;0,860;0,114;0,180;0,132;0,138;0,146;;70;49711,87;0
