Municipio,Zona_Hidrografica,Subcuenca,Sistema,Area_Ha,Porcentaje
MEDELLÍN,Valle de Aburra,Q. Santa Elena,Rio Aburra,4463.320467836931,11.910506197111937
MEDELLÍN,Valle de Aburra,Q. La Presidenta,Rio Aburra,1287.2033025485655,3.434941098768481
MEDELLÍN,Valle de Aburra,Q. La Ayurá,Rio Aburra,207.98322766708276,0.5550095584385981
MEDELLÍN,Valle de Aburra,Q. Piedras Blancas,Rio Aburra,2265.5222497410646,6.045614915998405
MEDELLÍN,Valle de Aburra,Q. Doña Maria,Rio Aburra,5970.79790635978,15.933255516350112
MEDELLÍN,Valle de Aburra,Q. Altavista,Rio Aburra,2412.30001355288,6.437295835635819
MEDELLÍN,Valle de Aburra,Q. La Picacha,Rio Aburra,1212.6566009860835,3.2360109620390225
MEDELLÍN,Valle de Aburra,Q. La Hueso,Rio Aburra,2407.1457634744042,6.423541562792645
MEDELLÍN,Valle de Aburra,Q. La Iguaná,Rio Aburra,5079.934492405939,13.55595944515409
MEDELLÍN,Valle de Aburra,Directos R. Aburra ZU Medellín,Rio Aburra,2276.045393707719,6.073696245208601
MEDELLÍN,Valle de Aburra,Directos R. Aburra a Copacabana,Rio Aburra,4034.8888623417624,10.767223448525924
MEDELLÍN,C Rio Negro,Qda. La Mosca,Río Negro,43.98222302909994,0.11736789767299166
ABEJORRAL,Embalse La Fe,Río Buey,Río Arma,2611.9730099486073,5.152300152955685
ABEJORRAL,Embalse La Fe,Río Buey,Río Arma,3208.892137642593,6.329765042985466
ABEJORRAL,Embalse La Fe,Río Buey,Río Arma,880.9882560169706,1.7378111905979112
ABEJORRAL,Embalse La Fe,Río Buey,Río Arma,1066.98168961743,2.1046962972733647
ANGOSTURA,Embalse Riogrande II,Q. Las Trampas,R. Grande - Chico,135.8745137309195,0.4013710143185488
BARBOSA,Valle de Aburra,Q. Platanito,Rio Aburra,739.9447570802158,3.5993495549841983
BARBOSA,Valle de Aburra,Q. Guayabal,Rio Aburra,362.18774746825926,1.7618076149558872
BARBOSA,Valle de Aburra,Q. Ovejas,Rio Aburra,1402.0109979251256,6.819870825732051
BARBOSA,Valle de Aburra,Q. Dos Quebradas,Rio Aburra,2130.372173192492,10.36287379586075
BARBOSA,Valle de Aburra,Q. Aguas Claras,Rio Aburra,804.954983673783,3.9155819870948174
