Vereda,Municipio,Zona_Hidrografica,Subcuenca,Sistema,Area_Ha,Porcentaje
LA PIEDRA,YARUMAL,Nechí,Q. Las Trampas,R. Grande - Chico,906.4926681227756,90.72794627801464
SANTA ISABEL,YARUMAL,Nechí,Q. Las Trampas,R. Grande - Chico,372.94704839741996,9.234655339090828
SANTA ISABEL,YARUMAL,Nechí,R. Grande tramo 1,R. Grande - Chico,40.28213502360707,0.9974382016541096
CHACHAFRUTO,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,0.09124778073061397,0.012195175139234307
MORRON,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,4.9888839628547945,0.5371117679690118
MORRON,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,0.20918016310279955,0.022520693618999103
MORRON,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,8.84712874764346,0.9524969910057931
MONTEGRANDE,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,0.00309742917254417,0.00031120143118873456
FILO DEL MEDIO,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,3.604385442756383,0.6689264791495052
FILO GRANDE,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,12.996346586054797,1.937238269941696
LA ISLETA,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,2.8945528232163666,0.2343932437742832
LA ISLETA,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,4.4937537397713925,0.36389231087426543
LA ISLETA,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,1.4319659582769906,0.1159568218077755
AGUACATES,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,5.842435447221156,0.9376172086141225
AGUACATES,SOPETRÁN,Nechí,R. Chico,R. Grande - Chico,0.684646882971306,0.10987484673078257
SAN EUSEBIO,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,22.029607499093267,4.534236045619524
LAS LAJAS,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,211.8358074229292,100.0
EL MORRO,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,322.9211878696852,65.35922121153507
LA SERRANÍA,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,127.03444532705005,97.38944991537308
ALDANA,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,422.246716176116,99.21860025431795
MORRITOS,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,306.423249868633,86.67620742979686
LA FLORESTA,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,64.17192685302565,100.0
VALLE DE MARIA,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,338.44865615210443,98.38436534926075
EL RETIRO,EL SANTUARIO,Medio Magdalena,Qda. Marinilla,Río Negro,237.7698346336621,100.0
