codigo_estacion,periodo_mensual,precipitacion
0011057020,2019-03,27.400000000000002
0011057020,2019-04,24.4
0011057020,2019-05,46.4
0011057020,2019-06,35.0
0011057020,2019-07,49.4
0011077020,2019-03,4.800000000000001
0011077020,2019-04,20.2
0011077020,2019-05,16.400000000000002
0011077020,2019-06,5.2
0011077020,2019-07,5.6000000000000005
0011077020,2019-08,0.4
0011115020,2019-04,19.2
0011115020,2019-05,26.6
0011115020,2019-06,6.2
0011115020,2019-07,14.600000000000001
0011115020,2019-08,10.6
0011115501,2016-06,7.7
0011115501,2016-07,14.9
0011115501,2016-08,9.7
0011115501,2016-09,9.9
0011115501,2017-05,7.3
0011115501,2017-07,5.300000000000001
0011115501,2017-08,1.1
0011115501,2017-09,19.8
0011115501,2017-10,16.6
0011115501,2017-11,20.2
0011117040,2019-03,3.0
0011117040,2019-04,21.0
0011117040,2019-05,19.4
0011117040,2019-06,43.2
0011117040,2019-07,45.0
0011117040,2019-08,39.8
0011117050,2019-03,6.0
0011117050,2019-04,29.400000000000002
0011117050,2019-05,18.4
0011117050,2019-06,12.6
0011117050,2019-07,4.2
0011117050,2019-08,3.4
0012015060,2017-11,1.4
0012015060,2019-03,1.0
0012015060,2019-04,39.8
0012015060,2019-05,65.6
0012015060,2019-06,8.0
0012015060,2019-07,48.2
0012015060,2019-08,16.8
0012015100,2005-01,4.5
0012015100,2005-02,2.0
0012015100,2005-03,37.4
0012015100,2005-04,24.299999999999997
0012015100,2005-05,0.2
0012015100,2005-06,14.200000000000001
0012015100,2005-07,3.4000000000000004
0012015100,2005-08,0.8999999999999999
0012015100,2005-09,1.6
0012015100,2005-10,22.2
0012015100,2011-01,1.8
0012015100,2011-02,0.4
0012015100,2011-03,11.0
0012015100,2011-04,23.700000000000003
0012015100,2011-05,8.3
0012015100,2011-06,25.6
0012015100,2011-07,32.0
0012015100,2011-08,14.799999999999999
0012015100,2011-09,21.3
0012015100,2011-10,19.0
0012015100,2011-11,7.6
0012015100,2011-12,8.8
0012015100,2012-01,4.8
0012015100,2012-02,2.6
0012015100,2012-03,1.0
0012015100,2012-10,18.5
0012015100,2012-11,15.700000000000001
0012015100,2012-12,7.9
0012015100,2013-02,1.8
0012015100,2013-03,0.4
0012015100,2013-05,0.2
0012015100,2013-06,27.1
0012015100,2013-07,5.3
0012015100,2013-08,9.4
0012015100,2013-09,8.9
0012015100,2013-10,13.6
0012015100,2013-11,4.0
0012015100,2013-12,25.5
0012015100,2014-01,7.5
0012015100,2014-02,0.3
0012015100,2014-03,11.299999999999999
0012015100,2014-04,3.5
0012015100,2014-05,10.0
0012015100,2014-06,12.4
0012015100,2014-11,22.400000000000002
0012015100,2014-12,5.2
0012015100,2015-01,16.200000000000003
0012015100,2015-02,2.2
0012015100,2015-03,1.3
0012015100,2015-04,7.2
0012015100,2015-05,29.2
0012015100,2015-06,9.0
0012015100,2015-07,13.0
0012015100,2015-08,4.6000000000000005
0012015100,2015-09,16.3
0012015100,2015-10,15.7
0012015100,2015-11,19.799999999999997
0012015100,2015-12,2.3000000000000003
0012015100,2016-01,0.1
0012015100,2016-02,0.2
0012015100,2016-03,1.2
0012015100,2016-04,15.3
0012015100,2016-05,41.1
0012015100,2016-06,18.7
0012015100,2016-07,10.3
0012015100,2016-08,8.4
0012015100,2016-09,28.5
0012015100,2016-10,15.8
0012015100,2016-11,21.1
0012015100,2016-12,19.2
0012015100,2017-01,7.199999999999999
0012015100,2017-03,24.5
0012015100,2017-04,10.2
0012015100,2017-05,14.8
0012015100,2017-06,3.9
0012015100,2017-07,0.1
0012015100,2017-08,2.3
0012015100,2017-09,3.0
0012015100,2017-10,7.0
0012015100,2017-11,27.7
0012015100,2017-12,15.9
0012015100,2018-01,23.900000000000002
0012015100,2018-04,15.700000000000001
0012015100,2018-05,6.0
0012015100,2018-06,31.900000000000002
0012015100,2018-07,9.9
0012015100,2018-08,11.6
0012015100,2018-09,22.3
0012015100,2018-10,11.3
0012015100,2018-11,50.2
0012015100,2018-12,6.0
0012015100,2019-01,2.5
0012015100,2019-03,3.4
0012015100,2019-04,21.3
0012015100,2019-05,14.5
0012015100,2019-06,12.8
0012015100,2019-07,3.2
0012015100,2019-08,11.0
0012015110,2005-01,39.0
0012015110,2005-02,29.099999999999998
0012015110,2005-03,19.3
0012015110,2005-04,8.3
0012015110,2005-05,6.1000000000000005
0012015110,2005-06,7.8
0012015110,2005-10,49.0
0012015110,2005-11,37.6
0012015110,2005-12,30.1
0012015110,2006-01,3.3
0012015110,2006-02,4.6
0012015110,2006-03,6.5
0012015110,2011-04,0.30000000000000004
0012015110,2011-06,2.6
0012015110,2011-12,12.8
0012015110,2012-01,16.1
0012015110,2012-02,5.2
0012015110,2012-03,9.6
0012015110,2012-10,16.8
0012015110,2012-11,23.4
0012015110,2012-12,0.7000000000000001
0012015110,2013-02,1.2
0012015110,2013-03,7.6000000000000005
0012015110,2013-04,24.0
0012015110,2013-05,40.7
0012015110,2013-06,14.0
0012015110,2013-07,2.8000000000000003
0012015110,2013-08,31.900000000000002
0012015110,2013-09,31.0
0012015110,2013-10,21.3
0012015110,2013-11,2.0
0012015110,2013-12,7.2
0012015110,2014-01,16.5
0012015110,2014-02,8.4
0012015110,2014-03,4.9
0012015110,2014-04,16.2
0012015110,2014-05,20.599999999999998
0012015110,2014-06,15.9
0012015110,2014-07,9.200000000000001
0012015110,2014-08,19.8
0012015110,2014-09,29.7
0012015110,2014-10,28.4
0012015110,2014-11,33.1
0012015110,2014-12,18.3
0012015110,2015-01,2.0
0012015110,2015-02,5.1
