Id-Vereda_Mpio;Municipio;Vereda;Extension_Ha;Poblacion_hab;CAR
Altamira-ABEJORRAL;ABEJORRAL;Altamira;213;201;
Alto Bonito-ABEJORRAL;ABEJORRAL;Alto Bonito;178;;
Alto de Letras-ABEJORRAL;ABEJORRAL;Alto de Letras;262;;
Aures Arriba-ABEJORRAL;ABEJORRAL;Aures Arriba;2.050;291;
Aures El Silencio-ABEJORRAL;ABEJORRAL;Aures El Silencio;596;;
Cañaveral-ABEJORRAL;ABEJORRAL;Cañaveral;751;224;
Carrizales-ABEJORRAL;ABEJORRAL;Carrizales;887;190;
Chagualal-ABEJORRAL;ABEJORRAL;Chagualal;977;747;
Combia-ABEJORRAL;ABEJORRAL;Combia;343;59;
Corinto-ABEJORRAL;ABEJORRAL;Corinto;693;270;
El Buey-ABEJORRAL;ABEJORRAL;El Buey;749;154;
El Buey - Colmenas-ABEJORRAL;ABEJORRAL;El Buey - Colmenas;1.080;74;
El Carmelo-ABEJORRAL;ABEJORRAL;El Carmelo;305;161;
El Caunzal-ABEJORRAL;ABEJORRAL;El Caunzal;51;;
El Chagualo-ABEJORRAL;ABEJORRAL;El Chagualo;947;109;
El Erizo-ABEJORRAL;ABEJORRAL;El Erizo;1.451;382;
El Granadillo-ABEJORRAL;ABEJORRAL;El Granadillo;580;211;
El Guaico-ABEJORRAL;ABEJORRAL;El Guaico;1.040;500;
El Morrón-ABEJORRAL;ABEJORRAL;El Morron;423;163;
El Vesubio-ABEJORRAL;ABEJORRAL;El Vesubio;1.235;352;
El Volcán-ABEJORRAL;ABEJORRAL;El Volcan;395;228;
Guayabal-ABEJORRAL;ABEJORRAL;Guayabal;1.849;236;
Guayaquil-ABEJORRAL;ABEJORRAL;Guayaquil;827;126;
La Albania-ABEJORRAL;ABEJORRAL;La Albania;;153;
La Betulia-ABEJORRAL;ABEJORRAL;La Betulia;409;233;
La Cascada-ABEJORRAL;ABEJORRAL;La Cascada;839;258;
La Circita-ABEJORRAL;ABEJORRAL;La Circita;564;140;
La Cordillera-ABEJORRAL;ABEJORRAL;La Cordillera;1.078;130;
La Esperanza-ABEJORRAL;ABEJORRAL;La Esperanza;508;244;
La Florida-ABEJORRAL;ABEJORRAL;La Florida;273;204;
La Labor-ABEJORRAL;ABEJORRAL;La Labor;2.144;263;
La Loma-ABEJORRAL;ABEJORRAL;La Loma;514;383;
La Loma Parte Baja-ABEJORRAL;ABEJORRAL;La Loma Parte Baja;522;;
La Nubia-ABEJORRAL;ABEJORRAL;La Nubia;217;;
La Peña-ABEJORRAL;ABEJORRAL;La Peña;553;362;
La Perdida-ABEJORRAL;ABEJORRAL;La Perdida;623;322;
La Polka-ABEJORRAL;ABEJORRAL;La Polka;482;261;
La Primavera-ABEJORRAL;ABEJORRAL;La Primavera;333;;
La Saltadera-ABEJORRAL;ABEJORRAL;La Saltadera;554;80;
La Samaria-ABEJORRAL;ABEJORRAL;La Samaria;300;165;
La Victoria-ABEJORRAL;ABEJORRAL;La Victoria;1.578;396;
Llanadas-ABEJORRAL;ABEJORRAL;Llanadas;1.834;;
Llanogrande-ABEJORRAL;ABEJORRAL;Llanogrande;830;182;
Los Rastrojos-ABEJORRAL;ABEJORRAL;Los Rastrojos;344;199;
Mata de Guadua-ABEJORRAL;ABEJORRAL;Mata de Guadua;119;104;
Monteloro - El Reposo-ABEJORRAL;ABEJORRAL;Monteloro - El Reposo;781;323;
Morrogordo-ABEJORRAL;ABEJORRAL;Morrogordo;850;170;
Nápoles-ABEJORRAL;ABEJORRAL;Napoles;;18;
Naranjal-ABEJORRAL;ABEJORRAL;Naranjal;1.369;768;
Pantano Negro-ABEJORRAL;ABEJORRAL;Pantano Negro;551;113;
Piedra Candela-ABEJORRAL;ABEJORRAL;Piedra Candela;2.125;225;
Portugal-ABEJORRAL;ABEJORRAL;Portugal;809;289;
Purima-ABEJORRAL;ABEJORRAL;Purima;1.312;407;
Quebradanegra-ABEJORRAL;ABEJORRAL;Quebradanegra;2.120;493;
Quebradona Abajo-ABEJORRAL;ABEJORRAL;Quebradona Abajo;619;184;
Quebradona Arriba-ABEJORRAL;ABEJORRAL;Quebradona Arriba;789;28;
San Bartolo-ABEJORRAL;ABEJORRAL;San Bartolo;1.419;104;
San Bernardo-ABEJORRAL;ABEJORRAL;San Bernardo;747;271;
San José-ABEJORRAL;ABEJORRAL;San Jose;160;108;
San Luís-ABEJORRAL;ABEJORRAL;San Luis;474;123;
San Pedro-ABEJORRAL;ABEJORRAL;San Pedro;515;;
San Vicente-ABEJORRAL;ABEJORRAL;San Vicente;427;147;
Santa Ana-ABEJORRAL;ABEJORRAL;Santa Ana;264;173;
Santa Catalina-ABEJORRAL;ABEJORRAL;Santa Catalina;1.050;223;
Sotayac-ABEJORRAL;ABEJORRAL;Sotayac;70;125;
Yarumal-ABEJORRAL;ABEJORRAL;Yarumal;1.604;132;
Corcovado-ABRIAQUI;ABRIAQUI;Corcovado;6.486;195;
El Cején-ABRIAQUI;ABRIAQUI;El Cejen;600;73;
La Antigua-ABRIAQUI;ABRIAQUI;La Antigua;708;157;
La Nancuí-ABRIAQUI;ABRIAQUI;La Nancui;2.843;109;
La Timotea-ABRIAQUI;ABRIAQUI;La Timotea;498;200;
Las Juntas-ABRIAQUI;ABRIAQUI;Las Juntas;2.515;126;
Monos-ABRIAQUI;ABRIAQUI;Monos;2.297;135;
Piedras-ABRIAQUI;ABRIAQUI;Piedras;3.558;;
Potreros-ABRIAQUI;ABRIAQUI;Potreros;2.203;149;
San José-ABRIAQUI;ABRIAQUI;San Jose;2.422;26;
San Ruperto-ABRIAQUI;ABRIAQUI;San Ruperto;3.961;83;
Santa Teresa-ABRIAQUI;ABRIAQUI;Santa Teresa;1.351;;
Cruces-ALEJANDRIA;ALEJANDRIA;Cruces;708;146;
El Carbón-ALEJANDRIA;ALEJANDRIA;El Carbon;655;39;
El Cerro-ALEJANDRIA;ALEJANDRIA;El Cerro;851;171;
El Popo-ALEJANDRIA;ALEJANDRIA;El Popo;877;207;
El Respaldo-ALEJANDRIA;ALEJANDRIA;El Respaldo;1.270;151;
La Inmaculada-ALEJANDRIA;ALEJANDRIA;La Inmaculada;415;112;
La Pava-ALEJANDRIA;ALEJANDRIA;La Pava;593;115;
Piedras-ALEJANDRIA;ALEJANDRIA;Piedras;394;190;
Remolino-ALEJANDRIA;ALEJANDRIA;Remolino;538;93;
San José-ALEJANDRIA;ALEJANDRIA;San Jose;467;157;
San Lorenzo-ALEJANDRIA;ALEJANDRIA;San Lorenzo;1.256;168;
San Miguel-ALEJANDRIA;ALEJANDRIA;San Miguel;717;236;
San Pedro-ALEJANDRIA;ALEJANDRIA;San Pedro;2.243;40;
Tocaima-ALEJANDRIA;ALEJANDRIA;Tocaima;825;164;
Camilo C-AMAGA;AMAGA;Camilo C;329;3.071;
El Cedro-AMAGA;AMAGA;El Cedro;699;1.223;
El Morro-AMAGA;AMAGA;El Morro;217;227;
Guaimaral-AMAGA;AMAGA;Guaimaral;583;130;
Gualí-AMAGA;AMAGA;Guali;231;291;
La Clarita 1-AMAGA;AMAGA;La Clarita 1;173;2.025;
La Clarita 2-AMAGA;AMAGA;La Clarita 2;117;;
La Delgadita-AMAGA;AMAGA;La Delgadita;140;;
La Ferrería-AMAGA;AMAGA;La Ferreria;165;524;
Las Peñas-AMAGA;AMAGA;Las Peñas;146;196;
Mal Abrigo-AMAGA;AMAGA;Mal Abrigo;355;300;
Maní del Cardal-AMAGA;AMAGA;Mani del Cardal;134;309;
Minas-AMAGA;AMAGA;Minas;277;3.086;
Nechí-AMAGA;AMAGA;Nechi;607;394;
Nicanor Restrepo-AMAGA;AMAGA;Nicanor Restrepo;496;212;
Piedecuesta-AMAGA;AMAGA;Piedecuesta;474;1.567;
Pueblito de los Bolívares-AMAGA;AMAGA;Pueblito de los Bolivares;232;22;
Pueblito de los Sánchez-AMAGA;AMAGA;Pueblito de los Sanchez;696;522;
Pueblito de San José-AMAGA;AMAGA;Pueblito de San Jose;1.430;236;
Travesías-AMAGA;AMAGA;Travesias;356;361;
Yarumal-AMAGA;AMAGA;Yarumal;373;286;
Ánimas-AMALFI;AMALFI;animas;2.584;408;
Arenas Blancas-AMALFI;AMALFI;Arenas Blancas;1.934;160;
Baldío-AMALFI;AMALFI;Baldio;15.677;;
Boquerón-AMALFI;AMALFI;Boqueron;1.185;339;
Cestillal-AMALFI;AMALFI;Cestillal;1.557;107;
Cruces-AMALFI;AMALFI;Cruces;1.250;224;
El Cañal-AMALFI;AMALFI;El Cañal;3.212;108;
El Castillo-AMALFI;AMALFI;El Castillo;430;74;
El Dorado-AMALFI;AMALFI;El Dorado;488;38;
El Encanto-AMALFI;AMALFI;El Encanto;4.563;257;
El Guaico-AMALFI;AMALFI;El Guaico;4.260;277;
El Naranjal-AMALFI;AMALFI;El Naranjal;1.937;191;
El Retiro-AMALFI;AMALFI;El Retiro;1.115;164;
El Río-AMALFI;AMALFI;El Rio;4.108;;
El Silencio-AMALFI;AMALFI;El Silencio;;242;
El Taparo-AMALFI;AMALFI;El Taparo;2.543;93;
El Tigrillo-AMALFI;AMALFI;El Tigrillo;2.311;130;
Guamocó-AMALFI;AMALFI;Guamoco;1.137;71;
Guayabito-AMALFI;AMALFI;Guayabito;2.026;296;
Jardín-AMALFI;AMALFI;Jardin;1.338;202;
La Aldea-AMALFI;AMALFI;La Aldea;1.156;57;
La Areiza-AMALFI;AMALFI;La Areiza;4.195;55;
La Clara-AMALFI;AMALFI;La Clara;2.856;369;
La Esperanza-AMALFI;AMALFI;La Esperanza;1.123;123;
La Gardenia-AMALFI;AMALFI;La Gardenia;800;248;
La Guayana-AMALFI;AMALFI;La Guayana;2.072;366;
La Gurria-AMALFI;AMALFI;La Gurria;1.050;254;
La Manguita-AMALFI;AMALFI;La Manguita;2.389;463;
La Maria-AMALFI;AMALFI;La Maria;1.940;404;
La Picardía-AMALFI;AMALFI;La Picardia;1.393;151;
La Sonadora-AMALFI;AMALFI;La Sonadora;626;145;
La Vetilla-AMALFI;AMALFI;La Vetilla;1.157;49;
La Víbora-AMALFI;AMALFI;La Vibora;1.638;119;
Los Mangos-AMALFI;AMALFI;Los Mangos;4.306;232;
Los Toros-AMALFI;AMALFI;Los Toros;2.574;58;
Manzanillo-AMALFI;AMALFI;Manzanillo;1.514;275;
Maria Teresa-AMALFI;AMALFI;Maria Teresa;726;456;
Mondragón-AMALFI;AMALFI;Mondragon;3.232;197;
Monos-AMALFI;AMALFI;Monos;4.543;25;
Montebello-AMALFI;AMALFI;Montebello;1.274;444;
Naranjitos-AMALFI;AMALFI;Naranjitos;3.602;314;
Pavas-AMALFI;AMALFI;Pavas;1.344;45;
Pinto Limón-AMALFI;AMALFI;Pinto Limon;729;117;
Pocoró-AMALFI;AMALFI;Pocoro;3.141;361;
Portachuelos-AMALFI;AMALFI;Portachuelos;1.960;467;
Risaralda-AMALFI;AMALFI;Risaralda;1.493;332;
Romazón-AMALFI;AMALFI;Romazon;1.645;161;
Salazar-AMALFI;AMALFI;Salazar;2.205;157;
San Miguel-AMALFI;AMALFI;San Miguel;2.005;133;
Tinita-AMALFI;AMALFI;Tinita;5.080;72;
Tinitacita-AMALFI;AMALFI;Tinitacita;2.918;134;
Alto Cañaveral-ANDES;ANDES;Alto Cañaveral;1.079;424;
Alto del Rayo-ANDES;ANDES;Alto del Rayo;103;;
Alto Senón-ANDES;ANDES;Alto Senon;373;118;
Bajo Cañaveral-ANDES;ANDES;Bajo Cañaveral;405;440;
California-ANDES;ANDES;California;373;243;
Cascajero-ANDES;ANDES;Cascajero;237;629;
Chaparralito-ANDES;ANDES;Chaparralito;84;;
Egipto-ANDES;ANDES;Egipto;202;211;
El Barcino-ANDES;ANDES;El Barcino;104;94;
El Cardal-ANDES;ANDES;El Cardal;238;331;
El Cedrón-ANDES;ANDES;El Cedron;195;760;
El Chispero-ANDES;ANDES;El Chispero;114;;
El Crucero-ANDES;ANDES;El Crucero;656;166;
El Ignacio-ANDES;ANDES;El Ignacio;144;;
El Líbano-ANDES;ANDES;El Libano;681;534;
El Rojo-ANDES;ANDES;El Rojo;156;;
El Tapado-ANDES;ANDES;El Tapado;252;267;
Guaimaral-ANDES;ANDES;Guaimaral;152;206;
La Aguada-ANDES;ANDES;La Aguada;48;33;
La Argentina-ANDES;ANDES;La Argentina;703;137;
La Avanzada-ANDES;ANDES;La Avanzada;196;;
La Bodega-ANDES;ANDES;La Bodega;274;243;
La Borraja-ANDES;ANDES;La Borraja;1.002;168;
La Cedrona-ANDES;ANDES;La Cedrona;227;164;
La Clara-ANDES;ANDES;La Clara;265;386;
La Comuna-ANDES;ANDES;La Comuna;172;221;
La Cristalina-ANDES;ANDES;La Cristalina;748;251;
La Ermita-ANDES;ANDES;La Ermita;537;306;
La Esperanza - Hoyo Grande-ANDES;ANDES;La Esperanza - Hoyo Grande;466;286;
La Legía-ANDES;ANDES;La Legia;505;317;
La Manuela-ANDES;ANDES;La Manuela;509;233;
La Mesenia-ANDES;ANDES;La Mesenia;887;;
La Piedra-ANDES;ANDES;La Piedra;1.564;413;
La Pradera-ANDES;ANDES;La Pradera;527;125;
La Rochela-ANDES;ANDES;La Rochela;830;369;
La Siria-ANDES;ANDES;La Siria;871;;
La Soledad-ANDES;ANDES;La Soledad;609;579;
La Solita-ANDES;ANDES;La Solita;457;701;
Las Colonias-ANDES;ANDES;Las Colonias;88;130;
Las Flores-ANDES;ANDES;Las Flores;682;186;
Media Luna-ANDES;ANDES;Media Luna;314;183;
Monte Blanco-ANDES;ANDES;Monte Blanco;300;220;
Monte Verde-ANDES;ANDES;Monte Verde;135;523;
Orizaba-ANDES;ANDES;Orizaba;514;125;
Palestina-ANDES;ANDES;Palestina;346;400;
Reserva Forestal-ANDES;ANDES;Reserva Forestal;14.125;;
Río Claro-ANDES;ANDES;Rio Claro;145;;
Risaralda-ANDES;ANDES;Risaralda;258;550;
San Agustín-ANDES;ANDES;San Agustin;2.368;622;
San Antonio-ANDES;ANDES;San Antonio;626;546;
San Bartolo-ANDES;ANDES;San Bartolo;481;864;
San Carlos-ANDES;ANDES;San Carlos;217;219;
